108 107
1 2 1
2 3 1
2 4 1
4 5 1
5 6 1
5 8 1
7 8 1
8 9 1
9 10 1
9 11 1
11 12 1
12 13 1
13 14 1
14 15 1
14 16 1
16 17 1
17 18 1
17 20 1
19 20 1
20 21 1
21 22 1
21 23 1
23 24 1
24 25 1
25 26 1
26 27 1
26 28 1
28 29 1
29 30 1
29 32 1
31 32 1
32 33 1
33 34 1
33 35 1
35 36 1
36 37 1
37 38 1
38 39 1
38 40 1
40 41 1
41 42 1
41 44 1
43 44 1
44 45 1
45 46 1
45 47 1
47 48 1
48 49 1
49 50 1
50 51 1
50 52 1
52 53 1
53 54 1
53 56 1
55 56 1
56 57 1
57 58 1
57 59 1
59 60 1
60 61 1
61 62 1
62 63 1
62 64 1
64 65 1
65 66 1
65 68 1
67 68 1
68 69 1
69 70 1
69 71 1
71 72 1
72 73 1
73 74 1
74 75 1
74 76 1
76 77 1
77 78 1
77 80 1
79 80 1
80 81 1
81 82 1
81 83 1
83 84 1
84 85 1
85 86 1
86 87 1
86 88 1
88 89 1
89 90 1
89 92 1
91 92 1
92 93 1
93 94 1
93 95 1
95 96 1
96 97 1
97 98 1
98 99 1
98 100 1
100 101 1
101 102 1
101 104 1
103 104 1
104 105 1
105 106 1
105 107 1
107 108 1
