100 99
1 2 1
1 3 1
2 4 1
2 5 1
3 6 1
3 7 1
4 8 1
4 9 1
5 10 1
5 11 1
6 12 1
6 13 1
7 14 1
7 15 1
8 16 1
8 17 1
9 18 1
9 19 1
10 20 1
10 21 1
11 22 1
11 23 1
12 24 1
12 25 1
13 26 1
13 27 1
14 28 1
14 29 1
15 30 1
15 31 1
16 32 1
16 33 1
17 34 1
17 35 1
18 36 1
18 37 1
19 38 1
19 39 1
20 40 1
20 41 1
21 42 1
21 43 1
22 44 1
22 45 1
23 46 1
23 47 1
24 48 1
24 49 1
25 50 1
25 51 1
26 52 1
26 53 1
27 54 1
27 55 1
28 56 1
28 57 1
29 58 1
29 59 1
30 60 1
30 61 1
31 62 1
31 63 1
32 64 1
32 65 1
33 66 1
33 67 1
34 68 1
34 69 1
35 70 1
35 71 1
36 72 1
36 73 1
37 74 1
37 75 1
38 76 1
38 77 1
39 78 1
39 79 1
40 80 1
40 81 1
41 82 1
41 83 1
42 84 1
42 85 1
43 86 1
43 87 1
44 88 1
44 89 1
45 90 1
45 91 1
46 92 1
46 93 1
47 94 1
47 95 1
48 96 1
48 97 1
49 98 1
49 99 1
50 100 1
